Food,category,meal_type,food_type,diet_type,energy,protein,carbs,fat,fiber,sugars,sodium,is_leafy_green,is_alcohol,quantity,image
Whole Milk,Diary,Breakfast,drink,veg,130,7,0,7,0,12,50,0,0,1 Glass,/static/foods/Whole Milk.jpg
Skim Milk,Diary,Breakfast,drink,veg,80,8,0,0,0,12,50,0,0,1 Glass,/static/foods/Skim Milk.jpg
Apple,Fruit,Dinner,side,veg,80,0,0,0,2.4,10,1,0,0,1,/static/foods/Apple.jpg
Apple,Fruit,Breakfast,side,veg,80,0,0,0,2.4,10,1,0,0,1,/static/foods/Apple.jpg
Apple,Fruit,Lunch,side,veg,80,0,0,0,2.4,10,1,0,0,1,/static/foods/Apple.jpg
Almonds,Grain,Breakfast,side,veg,180,6,0,15,7,3,5,0,0,1 cup,/static/foods/Almonds.jpg
Almonds,Grain,Dinner,side,veg,180,6,0,15,7,3,5,0,0,1 cup,/static/foods/Almonds.jpg
Walnuts,Grain,Breakfast,side,veg,190,4,0,18,7,3,5,0,0,1 cup,/static/foods/Walnuts.webp
Walnuts,Grain,Dinner,side,veg,190,4,0,18,7,3,5,0,0,1 cup,/static/foods/Walnuts.webp
Kiribath (Milk Rice) ,Grain,Breakfast,main,veg,260,6,0,8,2,2,180,0,0,2 Slices,/static/foods/Kiribath (Milk Rice).avif
String Hoppers (Idiyappam) ,Grain,Breakfast,main,veg,240,5,0,1,2,1,120,0,0,5 Slices,/static/foods/String Hoppers (Idiyappam).jpg
String Hoppers (Idiyappam) ,Grain,Dinner,main,veg,240,5,0,1,2,1,120,0,0,5 Slices,/static/foods/String Hoppers (Idiyappam).jpg
Hoppers (Appa) ,Grain,Breakfast,main,veg,220,4,0,5,2,2,200,0,0,5 Slices,/static/foods/Hoppers (Appa).webp
Egg Hopper (Biththara Appa) ,Protein,Breakfast,protein,non_veg,180,8,0,7,1,1,250,0,0,1 Hopper,/static/foods/Egg hoppers.jpg
Pol Roti ,Grain,Breakfast,main,veg,320,6,0,13,4,2,280,0,0,2 Slices,/static/foods/Pol roti.jpg
Pittu (Coconut) ,Grain,Breakfast,main,veg,300,6,0,9,4,2,180,0,0,2 Slices,/static/foods/Pittu (Coconut).webp
Kola Kenda (Herbal Porridge) ,Vegetable,Breakfast,drink,veg,160,4,0,4,3,1,120,0,0,1 Glass,/static/foods/Kola Kenda (Herbal Porridge).webp
Dhal Curry (Parippu) ,Meal/Protein,Lunch,side,veg,180,9,0,6,6,2,320,0,0,1 cup,/static/foods/Dhal Curry (Parippu).avif 
Lunu Miris ,Meal,Breakfast,side,veg,60,1,0,3,2,3,180,0,0,1 cup,/static/foods/Lunu Miris.jpg
Pol Sambol ,Meal,Breakfast,side,veg,150,2,0,12,4,2,220,0,0,1 cup,/static/foods/Pol Sambol.jpg 
Kiri Hodi (Tomato) ,Meal,Breakfast,side,veg,170,3,0,14,1,2,220,0,0,1 cup,/static/foods/Kiri Hodi (Tomato).jpg 
Seeni Sambol ,Meal,Breakfast,side,veg,90,1,0,3,1,10,180,0,0,1 cup,/static/foods/Seeni Sambol.jpg
Ceylon Tea  ,Beverage,Breakfast,drink,veg,5,0.2,0,0,0,0,5,0,0,1 cup,/static/foods/Ceylon Tea.jpg
Ginger Tea  ,Beverage,Dinner,drink,veg,10,0.2,0,0,0,0,5,0,0,1 cup,/static/foods/Ginger Tea.png
King Coconut Water ,Beverage,Lunch,drink,veg,55,1,0,0,0,11,60,0,0,1 Glass,/static/foods/King Coconut Water.webp
Red Rice,Grain,Lunch,main,veg,240,5,0,2,3,0,10,0,0,1 cup,/static/foods/Red rice.webp
White Rice,Grain,Lunch,main,veg,205,4,0,0.5,1,0,5,0,0,1 cup,/static/foods/White Rice.webp
Fried Rice (Chicken) ,Protein/Meat/Grain,Lunch,main,non_veg,520,22,0,16,4,4,720,0,0,1 cup,/static/foods/Fried Rice (Chicken).jpg 
Fried Rice (Vegetable) ,Vegetable,Lunch,main,veg,520,0,0,16,4,4,720,0,0,1 cup,/static/foods/Fried Rice (Vegetable).jpg 
Fish Curry (Tuna) ,Fish,Lunch,protein,non_veg,220,20,0,12,1,1,380,0,0,1 cup,/static/foods/Fish Curry (Tuna).jpg 
Fish Curry (Tuna) ,Fish,Dinner,protein,non_veg,220,20,0,12,1,1,380,0,0,1 cup,/static/foods/Fish Curry (Tuna).jpg 
Ambul Thiyal (Sour Fish) ,Fish,Lunch,protein,non_veg,180,19,0,10,0,0,300,0,0,1 cup,/static/foods/Ambul Thiyal (Sour Fish).jpg
Ambul Thiyal (Sour Fish) ,Fish,Dinner,protein,non_veg,180,19,0,10,0,0,300,0,0,1 cup,/static/foods/Ambul Thiyal (Sour Fish).jpg
Black Pork Curry ,Protein/Meat,Lunch,protein,non_veg,320,20,0,24,1,1,520,0,0,1 cup,/static/foods/Black Pork Curry.jpg
Black Pork Curry ,Protein/Meat,Dinner,protein,non_veg,320,20,0,24,1,1,520,0,0,1 cup,/static/foods/Black Pork Curry.jpg
Prawn Curry ,Protein/Meat,Lunch,protein,non_veg,200,18,0,10,1,1,450,0,0,1 cup,/static/foods/Prawn Curry.jpg
Prawn Curry ,Protein/Meat,Dinner,protein,non_veg,200,18,0,10,1,1,450,0,0,1 cup,/static/foods/Prawn Curry.jpg
Egg Curry ,Protein,Lunch,protein,egg,190,10,0,13,0,1,260,0,0,1 cup,/static/foods/Egg Curry .jpg
Egg Curry ,Protein,Dinner,protein,egg,190,10,0,13,0,1,260,0,0,1 cup,/static/foods/Egg Curry .jpg
Dhal Curry (Parippu) ,Meal/Protein,Dinner,side,veg,180,9,0,6,6,2,320,0,0,1 cup,/static/foods/Dhal Curry (Parippu).avif 
Potato Curry ,Roots,Lunch,side,veg,210,4,0,9,3,2,380,0,0,1 cup,/static/foods/Potato Curry.jpg
Potato Curry ,Roots,Dinner,side,veg,210,4,0,9,3,2,380,0,0,1 cup,/static/foods/Potato Curry.jpg
Brinjal Moju ,Vegetable,Lunch,side,veg,160,2,0,9,3,8,420,0,0,1 cup,/static/foods/Brinjal Moju.jpg 
Brinjal Moju ,Vegetable,Dinner,side,veg,160,2,0,9,3,8,420,0,0,1 cup,/static/foods/Brinjal Moju.jpg 
Pumpkin Curry ,Vegetable,Lunch,side,veg,140,3,0,5,4,6,250,0,0,1 cup,/static/foods/Pumpkin Curry.jpg 
Jackfruit Curry (Polos) ,Vegetable,Lunch,side,veg,190,4,0,8,6,3,360,0,0,1 cup,/static/foods/Jackfruit Curry (Polos).jpg 
Young Jackfruit Curry (Kos) ,Vegetable,Lunch,side,veg,170,4,0,6,7,3,320,0,0,1 cup,/static/foods/Young Jackfruit Curry (Kos).jpg 
Cuttlefish Curry ,Protein/Meat,Lunch,protein,non_veg,230,22,0,12,0,0,520,0,0,1 cup,/static/foods/Cuttlefish Curry.jpeg 
Cuttlefish Curry ,Protein/Meat,Dinner,protein,non_veg,230,22,0,12,0,0,520,0,0,1 cup,/static/foods/Cuttlefish Curry.jpeg 
Beef Curry ,Protein/Meat,Lunch,protein,non_veg,300,22,0,22,1,1,520,0,0,1 cup,/static/foods/Beef Curry.jpg 
Beef Curry ,Protein/Meat,Dinner,protein,non_veg,300,22,0,22,1,1,520,0,0,1 cup,/static/foods/Beef Curry.jpg 
Gotukola Sambol ,Vegetable,Lunch,side,veg,90,3,0,5,4,2,180,0,0,1 cup,/static/foods/Gotukola Sambol.jpg 
Kankun Mallung ,Vegetable,Lunch,side,veg,80,3,0,4,3,1,160,0,0,1 cup,/static/foods/Kankun Mallung.webp 
Mukunuwenna Mallum ,Vegetable,Lunch,side,veg,75,3,0,4,3,1,160,0,0,1 cup,/static/foods/Mukunuwenna Mallum.jpg 
Beetroot Curry ,Vegetable,Lunch,side,veg,120,3,0,6,4,6,220,0,0,1 cup,/static/foods/Beetroot Curry.avif
Okra (Bandakka) Curry ,Vegetable,Lunch,side,veg,110,3,0,6,4,3,240,0,0,1 cup,/static/foods/Okra (Bandakka) Curry.jpg 
Fried Beans Sambol  ,Vegetable,Lunch,side,veg,130,4,0,5,5,3,240,0,0,1 cup,/static/foods/Fried Beans Sambol.jpg 
Carrot Curry,Vegetable,Lunch,side,veg,130,2,0,6,4,7,220,0,0,1 cup,/static/foods/Carrot Curry.jpg
Cucumber Salad ,Vegetable,Lunch,side,veg,50,2,0,1,2,5,80,0,0,1 cup,/static/foods/Cucumber Salad.jpg 
Cucumber Salad ,Vegetable,Dinner,side,veg,50,2,0,1,2,5,80,0,0,1 cup,/static/foods/Cucumber Salad.jpg 
Papadam ,Snack,Lunch,side,veg,140,4,0,7,1,1,300,0,0,3 Slices,/static/foods/Papadam.jpg 
Papadam ,Snack,Dinner,side,veg,140,4,0,7,1,1,300,0,0,3 Slices,/static/foods/Papadam.jpg 
Mixed Greens Mallum ,Vegetable,Lunch,side,veg,85,3,0,5,3,1,160,0,0,1 cup,/static/foods/Mixed Greens Mallum.jpg 
Parippu Wade ,Snack,Dinner,side,veg,320,10,0,14,6,2,520,0,0,2 Slices,/static/foods/Parippu Wade.png 
Isso Wade ,Snack,Dinner,side,non_veg,340,12,0,15,4,2,620,0,0,2 Slices,/static/foods/Isso Wade.jpeg 
