Drug_Ingredient,Food,label,Calories,Protein,Fat,Carbs,Herbal_Risk,Alcohol_Risk,Iron_Rich,High_Fat,High_Protein,Therapeutic_Class,Action_Class
Tenecteplase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Plasminogen Activators- Thrombolytic
Tenecteplase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Plasminogen Activators- Thrombolytic
Tenecteplase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Plasminogen Activators- Thrombolytic
Tenecteplase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Plasminogen Activators- Thrombolytic
Tenecteplase,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  CARDIAC ,  Plasminogen Activators- Thrombolytic
Tenecteplase,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  CARDIAC ,  Plasminogen Activators- Thrombolytic
Abciximab,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Abciximab,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Abciximab,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Abciximab,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Abciximab,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Abciximab,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Drotrecogin alfa,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,Unknown,Unknown
Drotrecogin alfa,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,Unknown,Unknown
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Garlic Murukku,1,500.0,8.0,25.0,55.0,True,False,False,True,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
Eptifibatide,Ginger Finger Biscuit,1,18.0,0.2,0.5,2.8,True,False,False,False,False,  BLOOD RELATED ,  Glycoprotein IIb/IIIa inhibitor
