Food,food_type,consumption_type
Fruit Cordial (With Water),drink,beverage
"Fruit Drink (Botteled,Ready-To-Drink)",drink,beverage
"Fruit Nectar (Botteled,Ready-To-Drink)",drink,beverage
Fruit Squah (With Water),drink,beverage
Juice (Sweetend),drink,beverage
Lime Juice,drink,beverage
Passion Fruit Juice,drink,beverage
"Lemon Or Lime Juice (Fresh, Water & Sugar)",drink,beverage
"Lemon Or Lime Juice (Fresh, Water,No Sugar)",drink,beverage
"Lime Juice (Fresh,Raw (100% Juice))",drink,beverage
Apple Juice (Unsweetened (100% Juice)),drink,beverage
Mango Juice (Unsweetened (100% Juice)),drink,beverage
Orange Juice (Unsweetened (100% Juice)),drink,beverage
Kenda (Finger Millet),drink,beverage
Kenda (Leafy Vegetable & Rice),drink,beverage
Cola,drink,beverage
Cream Soda,drink,beverage
Energy Drink,drink,beverage
Fruit-Flavored Soda,drink,beverage
Ginger Beer,drink,beverage
Lemon-Lime Soda,drink,beverage
Orange Soda,drink,beverage
Coffee (Brewed),drink,beverage
"Coffee, (Made From Instant Coffee Powder)",drink,beverage
"Cooling Drink (Chinese,Infusion)",drink,beverage
Tea (Brewed From Black Tea Leaves),drink,beverage
Tea (Made From Instant Black Tea Powder),drink,beverage
Tea (Brewed From Herbs & Spices),drink,beverage
Tea (Brewed From Green Tea),drink,beverage
Water,drink,beverage
Bread (Wholemeal),main,meal
Bread (White),main,meal
Bun (Currant),snack,snack
"Bun (White, Plain)",snack,snack
Bun (Iced Or Sugar Glazed),dessert,dessert
Roast Paan,main,meal
Bun (Jam),dessert,dessert
Bun (Cream),dessert,dessert
Bun (Curry Filled),snack,snack
Papadum,side,meal
Parata,main,meal
Coconut Roti,main,meal
Egg Roti,protein,meal
"Roti (Wheat, Plain)",main,meal
Vegetable Roti,vegetable,meal
"Roti (Millet, Plain)",main,meal
Dosa,main,meal
Egg Dosa,protein,meal
Plain Dosa (With Filling),main,meal
Egg Hoppers,protein,meal
Hoppers,main,meal
String Hoppers (Rice Flour),main,meal
String Hoppers (Wheat Flour),main,meal
String Hoppers (Rice & Wheat Flour),main,meal
Beef Kottu,protein,meal
Egg Kottu,protein,meal
Chicken Kottu,protein,meal
Idli (Millet),main,meal
Idli (Rice & Dal),main,meal
Idli (Semolina),main,meal
"Pittu (Millet, With Coconut)",main,meal
"Pittu (Rice, With Coconut)",main,meal
"Pittu (Wheat, With Coconut)",main,meal
Uppuma (Tempered With Vegetables),main,meal
"Pittu (Rice, Without Coconut)",main,meal
"Pittu (Rice & Wheat, With Coconut)",main,meal
"Pittu (Rice & Wheat, Without Coconut)",main,meal
Thalapa (Millet),main,meal
Butter,side,meal
Dressing (French),side,meal
Ghee,side,meal
Margarine,side,meal
Yeast Extract,side,meal
Manila Tamarind,snack,snack
"Chili (Green, Fresh)",side,meal
"Chili (Red, Dried)",side,meal
"Chili (Red, Fresh)",side,meal
Chili (Fried),side,meal
"Ginger (Fresh, Grated)",side,meal
Maldives Fish (Dry),protein,meal
Chicken Gravy (With Coconut Milk),protein,meal
Coconut Milk Gravy,side,meal
Gravy Without Coconut Milk (Thin),side,meal
Gravy Without Coconut Milk (Thick),side,meal
Tomato Sauce,side,meal
"Gravy (Coconut Milk, Thin)",side,meal
"Gravy (Coconut Milk,Thick)",side,meal
Fish Gravy,protein,meal
Fish Gravy (Coconut Milk),protein,meal
Potato Gravy,vegetable,meal
